wind_speed;AN Bonus 1000/54;AN Bonus 1300/62;DWT Danish Wind Tech Windane 40;DeWind D4 48/600;ecotècnia ECO 48/750;Enercon E-18;Enercon E-30;Enercon E-33 / 300;Enercon E-40/5.40;Enercon E-40/6.44;Enercon E-44;Enercon E-48;Enercon E-53;Enercon E-58/10.58;Enercon E-66/15.66;Enercon E-66/18.70;Enercon E-70 E4 2.300;Enercon E-82 E2 2.300;Enercon E-82 E2 2.000;Enercon E-82 E4 2.350;Enercon E-82 E4 3.000;Enercon E-92;Enercon E-101;Enercon E-101 E2 3.050;Enercon E-101 E2 3.500;Enercon E-112/45.114;Enercon E-115 2.500;Enercon E-115 EP3 3.000 prototype;Enercon E-115 3.000;Enercon E-126 EP4;Enercon E-126 7.58 EP8;Enercon E-141 EP4;eno energy eno 100;eno energy eno 114 3.5;eno energy eno 126 3.5;Fuhrländer FL MD 77;Fuhrländer FL 2500/100;FWT 93/2000;FWT 100/2000;FWT 100/2500;FWT 104/2500;FWT 120/3000;Gamesa G97;Gamesa G114-2.0MW;Gamesa G114-2.5MW;Gamesa G126-2.5MW;Gamesa G128-4.5MW;Gamesa G128-5.0MW;Gamesa G132-3.3MW;Gamesa G132-5.0MW;GE Vernova GE 1.6 - 100;GE Vernova GE 2.5 - 100;GE Vernova GE 2.5-103;GE Vernova GE 2.5 - 120;GE Vernova GE 2.75 - 103;GE Vernova GE 2.75 - 120;GE Vernova GE 3.2-130;GE Vernova GE 3.4-137;Krogmann 15-50;Micon M 530;NEG Micon NM 48/750;NEG Micon NM 52/900;Nordex N29;Nordex N43;Nordex N50;Nordex N60;Nordex N90/2500;Nordex N100 Delta;Nordex N100 Gamma;Nordex N117 Delta;Nordex N117 Gamma;Nordex N117/3600 Delta;Nordex N131/3000 Delta;Nordex N131/3300 Delta;Nordex N131/3600 Delta;PowerWind PW56;REpower 48/600;Senvion 3.0M122;Senvion 3.2M122;Senvion 3.4M114;Senvion 3.4M140;Senvion MM100;Siemens SWT-2.3-113;Siemens SWT-3.15-142;Siemens SWT-3.2-113;Siemens SWT-3.3-130;Siemens SWT-3.3-130 LN;Siemens SWT-3.6-120 Onshore;Siemens SWT-3.6-130;Südwind S-70;Südwind S-70 (special nacelle);Südwind S-77;Tacke TW 80;Vestas V52;Vestas V90;Vestas V90 Gridstreamer;Vestas V100-1.8;Vestas V112-3.0 Offshore;Vestas V112-3.075 Onshore;Vestas V112-3.3;Vestas V112-3.45;Vestas V117-3.3;Vestas V117-3.45;Vestas V126-3.0;Vestas V126-3.3;Vestas V126-3.45;Vestas V136-3.45;W2E Wind to Energy W2E-93/2.0;W2E Wind to Energy W2E-100/2.0;W2E Wind to Energy W2E-100/2.5;W2E Wind to Energy W2E-120/3fc;Wincon W755/48;Wind World (India) ww-53;WinWinD WWD-1 D56;WinWinD WWD-1 D64
3.0;0.18;;0.0;0.234;;0.285;0.317;0.353;0.21;0.07;0.16;0.17;0.39;0.06;0.032;;0.27;0.29;0.29;0.29;0.286;0.27;0.279;0.28;0.279;0.23;0.28;0.279;0.28;0.28;0.19;0.4;0.29;0.14;0.16;;;;;;;;0.12;0.19;0.21;0.1;0.28;0.28;0.159;0.27;0.01;0.034;0.12;0.13;0.12;0.13;0.26;0.222;;0.0;;0.12;;0.06;0.0;0.0;0.01;0.0;0.02;0.09;0.13;0.096;0.15;0.15;0.067;0.12;;0.19;0.29;0.14;0.85;0.15;0.4;0.21;0.39;0.19;0.196;0.0;0.196;;0.0;;0.14;0.05;0.0;;0.1;0.14;0.16;0.14;0.043;0.14;0.124;0.1;0.15;0.17;0.15;;;;;0.17;0.26;0.228;0.0
3.5;0.28;;;;;;;;0.32;0.17;;;;;;;;;;;;;;;;;;;;;;;;;;;0.15;0.25;0.17;0.15;0.14;0.35;;;;;;;;;0.08;0.156;0.25;0.3;0.25;0.3;0.37;0.356;0.22;;0.09;0.25;;0.16;0.2;0.12;0.22;0.06;0.22;0.2;0.29;0.192;0.29;0.3;0.254;;0.23;;;;;;;;;;;;;0.017;;0.154;0.27;0.27;0.254;;0.25;0.26;0.28;0.28;0.205;0.28;0.276;0.27;0.3;0.308;0.3;0.251;0.168;0.146;0.353;0.26;0.33;;
4.0;0.34;;0.0;0.31;;0.371;0.361;0.328;0.38;0.25;0.34;0.35;0.44;;;0.343;0.36;0.4;0.4;0.4;0.396;0.38;0.376;0.37;0.369;0.34;0.38;0.376;0.38;0.37;0.35;0.42;0.41;;0.42;0.3;0.26;0.33;0.28;0.26;0.26;0.39;0.32;0.37;0.34;0.3;0.39;0.39;0.313;0.35;0.26;0.275;0.32;0.39;0.32;0.39;0.41;0.405;;0.0;0.23;0.27;;0.3;0.3;0.26;0.34;0.23;0.33;0.31;0.37;0.312;0.37;0.37;0.348;0.33;0.29;0.36;0.4;0.35;0.81;0.33;0.44;0.385;0.43;0.35;0.354;0.36;0.354;0.159;0.159;0.257;0.34;0.37;0.379;0.3;0.35;0.34;0.34;0.35;0.318;0.35;0.356;0.35;0.37;0.376;0.37;0.328;0.277;0.263;0.385;0.33;0.366;0.322;0.29
4.5;0.36;;;;0.06;;;;0.41;0.32;;;;0.339;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.37;0.299;0.36;0.43;0.36;0.43;0.43;0.428;;;0.33;0.27;0.43;0.36;0.35;0.33;0.4;0.31;0.39;0.37;0.41;0.381;0.41;0.41;0.4;;0.35;;;;;;;;;;;;;0.259;;0.319;0.37;0.45;0.407;0.36;0.4;0.38;0.38;0.38;0.378;0.38;0.395;0.4;0.4;0.407;0.41;;;;;0.37;0.4;;
5.0;0.38;;0.02;0.375;0.19;0.416;0.399;0.336;0.41;0.36;0.43;0.43;0.46;;;0.396;0.42;0.43;0.43;0.43;0.43;0.41;0.421;0.41;0.412;0.39;0.42;0.421;0.42;0.41;0.42;0.44;0.43;;0.44;0.4;0.41;0.41;0.38;0.41;0.37;0.42;0.42;0.44;0.41;0.4;0.43;0.43;0.413;0.41;0.43;0.339;0.39;0.45;0.39;0.45;0.44;0.44;;0.09;0.36;0.28;0.47;0.41;0.38;0.34;0.44;0.37;0.43;0.41;0.43;0.419;0.43;0.43;0.429;0.38;0.37;0.42;0.44;0.42;0.79;0.4;0.46;0.453;0.46;0.41;0.414;0.41;0.414;0.293;0.295;0.367;0.38;0.48;0.433;0.39;0.43;0.4;0.4;0.4;0.41;0.4;0.413;0.42;0.42;0.423;0.43;0.411;0.377;0.407;0.423;0.35;0.415;0.38;0.367
5.5;0.4;;;;0.28;;;;0.41;0.38;;;;;;0.412;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.47;0.369;0.41;0.46;0.42;0.46;0.45;0.447;0.29;;0.37;0.33;0.45;0.4;0.36;0.33;0.45;0.4;0.45;0.43;0.45;0.439;0.44;0.44;0.444;;0.37;;;;;;;;;;;;;0.346;;0.388;0.37;0.49;0.438;0.41;0.44;0.42;0.41;0.41;0.425;0.41;0.425;0.43;0.42;0.433;0.44;;;;;0.32;0.435;;
6.0;0.41;;0.12;0.388;0.34;0.428;0.41;0.353;0.41;0.4;0.48;0.46;0.48;;0.383;;0.46;0.46;0.46;0.46;0.459;0.44;0.452;0.44;0.442;0.42;0.45;0.451;0.45;0.45;0.45;0.45;0.44;;0.44;0.44;0.44;0.45;0.42;0.44;0.43;0.44;0.45;0.46;0.45;0.44;0.45;0.46;0.45;0.45;0.49;0.398;0.42;0.47;0.43;0.47;0.45;0.451;;0.28;0.37;0.38;0.37;0.37;0.34;0.35;0.47;0.42;0.46;0.44;0.45;0.45;0.45;0.45;0.451;0.42;0.37;0.44;0.45;0.45;0.79;0.44;0.47;0.462;0.47;0.43;0.443;0.42;0.443;0.369;0.373;0.401;0.36;0.47;0.46;0.42;0.44;0.43;0.43;0.42;0.435;0.42;0.434;0.43;0.43;0.439;0.44;0.446;0.417;0.441;0.441;0.36;0.45;0.408;0.416
6.5;0.43;;;;0.38;;;;0.41;0.41;;;;0.411;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.49;0.416;0.43;0.48;0.44;0.48;0.45;0.453;;;0.4;0.44;0.38;0.38;0.36;0.37;0.47;0.43;0.46;0.45;0.46;0.457;0.46;0.46;0.456;;0.38;;;;;;;;;;;;;0.395;;0.411;0.35;0.48;0.461;0.43;0.45;0.43;0.43;0.43;0.442;0.43;0.44;0.44;0.44;0.444;0.45;;;;;0.39;0.455;;
7.0;0.45;;0.3;0.416;0.41;0.44;0.42;0.395;0.42;0.43;0.49;0.47;0.49;;;;0.48;0.48;0.48;0.48;0.473;0.46;0.469;0.46;0.46;0.44;0.47;0.453;0.47;0.45;0.47;0.45;0.45;0.42;0.45;0.46;0.45;0.47;0.43;0.45;0.43;0.44;0.46;0.47;0.46;0.45;0.46;0.48;0.461;0.47;0.49;0.424;0.44;0.48;0.44;0.48;0.44;0.454;0.31;0.38;0.42;0.45;0.4;0.41;0.4;0.4;0.48;0.44;0.47;0.45;0.46;0.461;0.46;0.46;0.458;0.44;0.4;0.46;0.46;0.46;0.78;0.45;0.48;0.457;0.48;0.45;0.455;0.43;0.455;0.401;0.407;0.419;0.35;0.47;0.449;0.44;0.45;0.44;0.44;0.44;0.448;0.43;0.445;0.44;0.44;0.447;0.45;0.465;0.432;0.452;0.444;0.41;0.466;0.413;0.435
7.5;0.46;;;;0.43;;;;0.41;0.44;;;;;;0.427;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.49;0.426;0.44;0.48;0.45;0.48;0.45;0.452;;;0.42;0.46;0.44;0.43;0.41;0.42;0.48;0.45;0.47;0.46;0.46;0.464;0.46;0.46;0.46;;0.42;;;;;;;;;;;;;0.417;;0.423;0.36;0.45;0.447;0.44;0.45;0.44;0.44;0.44;0.451;0.44;0.449;0.44;0.44;0.449;0.45;;;;;0.42;0.47;;
