Turbine;Rotordurchmesser;Nabenhöhe;Einschaltgeschwindigkeit;Nennwindgeschwindigkeit;Abschaltgeschwindigkeit
ACSA A27/225;27.0;30.0;3.5;13.5;25.0
ACSA A29/225;29.0;31.5;4.0;13.0;25.0
ACSA A29/225;29.0;40.0;4.0;13.0;25.0
ACSA A29/225;29.0;50.0;4.0;13.0;25.0
Adani 5.2-160;160.0;120.0;3.0;12.0;20.0
Adani 5.2-160;160.0;site specific;3.0;12.0;20.0
AWT Inc. AWT-26 / WC-86;26.2;24.4;5.4;17.0;24.6
AWT Inc. AWT-26 / WC-86;26.2;36.6;5.4;17.0;24.6
AWT Inc. AWT-26 / WC-86;26.2;45.7;5.4;17.0;24.6
AWP A/S AWP 90/18;18.6;22.5;4.0;13.0;25.0
AWP A/S AWP 90/18;18.6;30.0;4.0;13.0;25.0
AWP A/S AWP 200/23;23.0;30.0;4.0;13.0;25.0
Aeolia Windtech D2CF 200;28.0;40.3;3.0;10.9;20.0
aerodyn SCD 8.0/168;168.0;100 (or site specific);3.5;11.5;25.0
AERODAN 75/15;17.0;23.0;5.0;12.0;23.0
Alstom ECO 122/2700;122.0;89.0;3.0;10.0;34.0
AN Bonus 150/30;23.0;30.0;3.5;12.5;25.0
AN Bonus 150/30;23.0;40.0;3.5;12.5;25.0
AN Bonus 450/37;37.0;35.0;4.5;13.5;25.0
AN Bonus 450/37;37.0;42.3;4.5;13.5;25.0
AN Bonus 1000/54;54.2;50.0;3.0;15.0;25.0
AN Bonus 1000/54;54.2;60.0;3.0;15.0;25.0
AN Bonus 1000/54;54.2;70.0;3.0;15.0;25.0
AN Bonus 1300/62;62.0;68.0;3.0;15.0;25.0
AN Bonus 1300/62;62.0;80.0;3.0;15.0;25.0
AN Bonus 1300/62;62.0;90.0;3.0;15.0;25.0
Hummer H8.16-10KW;8.2;site specific;3.0;11.0;25.0
Hummer H13.2-20KW;13.2;site specific;3.0;9.0;25.0
Hummer H13.2-30KW;13.2;site specific;3.0;10.0;25.0
Hummer H17.0-50KW;17.0;site specific;3.5;9.5;20.0
Hummer H21.0-60KW;21.0;site specific;2.5;9.0;25.0
Hummer H21.0-100KW;21.0;site specific;2.5;10.5;20.0
Hummer H25.0-60KW;25.0;site specific;2.5;7.5;20.0
Hummer H25.0-100KW;25.0;site specific;2.5;10.0;20.0
Hummer H25.0-200KW;25.0;site specific;2.5;11.5;20.0
Aria Libellula 20;17.4;20.0;3.0;10.0;25.0
Aria Libellula 55+;19.0;19.0;3.0;11.0;25.0
Aria Libellula 55+;19.0;25.0;3.0;11.0;25.0
Aria Libellula 55+;19.0;31.0;3.0;11.0;25.0
Aria Libellula 60i;19.0;19.0;3.0;11.0;25.0
Aria Libellula 60i;19.0;25.0;3.0;11.0;25.0
Aria Libellula 60i;19.0;31.0;3.0;11.0;25.0
ATB Riva Calzoni ATB 60.28 DD;28.0;37.0;3.0;7.5;19.0
ATB Riva Calzoni ATB 500.54;54.0;50.0;3.5;10.0;25.0
ATB Riva Calzoni ATB 500.54;54.0;72.0;3.5;10.0;25.0
Aventa AV-7;12.8;18.0;2.0;6.0;14.0
b.ventus 250 kW;42.5;28.0;2.5;9.0;32.0
Baltic WindWerke BW 3200;120.0;90.0;3.0;13.0;25.0
Baltic WindWerke BW 3200;120.0;100.0;3.0;13.0;25.0
Baltic WindWerke BW 3200;120.0;140.0;3.0;13.0;25.0
Baltic WindWerke BW 3500;120.0;90.0;3.0;13.0;25.0
Baltic WindWerke BW 3500;120.0;100.0;3.0;13.0;25.0
Baltic WindWerke BW 3500;120.0;140.0;3.0;13.0;25.0
Baltic WindWerke BW 4500;151.0;100.0;3.0;12.0;20.0
Baltic WindWerke BW 4500;151.0;130.0;3.0;12.0;20.0
Baltic WindWerke BW 4500;151.0;140.0;3.0;12.0;20.0
Bergey BWC Excel 10;7.0;30.0;3.4;15.6;60.0
Bergey Excel 15;9.6;18 - 49;4.0;11.0;60.0
Bonus B23/150 Gittermast;23.0;30.0;3.5;12.5;25.0
Bonus B23/150 Gittermast;23.0;40.0;3.5;12.5;25.0
Bonus B31/300;31.0;30.0;3.0;13.0;25.0
Bonus B35/450;35.0;-;4.5;17.0;28.0
Bonus B37/450;37.0;35.0;4.5;13.5;25.0
Bonus B37/450;37.0;42.0;4.5;13.5;25.0
Bonus B41/600;41.0;42.3;4.5;14.5;25.0
Bonus B41/600;41.0;50.0;4.5;14.5;25.0
Bonus B44/600;44.0;42.0;3.0;15.0;25.0
Bonus B44/600;44.0;50.0;3.0;15.0;25.0
Bonus B44/600;44.0;55.0;3.0;15.0;25.0
Bonus B44/600;44.0;58.0;3.0;15.0;25.0
Bonus B54/1000;54.2;50.0;3.0;15.0;25.0
Bonus B54/1000;54.2;60.0;3.0;15.0;25.0
Bonus B54/1000;54.2;70.0;3.0;15.0;25.0
Bonus B62/1300;62.0;68.0;3.0;15.0;25.0
Bonus B62/1300;62.0;80.0;3.0;15.0;25.0
Bonus B62/1300;62.0;90.0;3.0;15.0;25.0
Bonus B76/2000;76.0;60.0;3.0;15.0;25.0
Bonus B76/2000;76.0;80.0;3.0;15.0;25.0
Bonus B76/2000;76.0;98.0;3.0;15.0;25.0
Bonus B82/2300;82.4;80.0;3.5;15.0;25.0
Bonus B82/2300;82.4;90.0;3.5;15.0;25.0
Bonus B82/2300;82.4;100.0;3.5;15.0;25.0
Braun Windturbinen ANTARIS 5.5kW;4.0;site specific;2.0;12.0;15.0
Braun Windturbinen ANTARIS 12.0kW;5.8;7 - 30;2.5;12.0;15.0
Cannon 26/250;26.0;42.7;4.8;-;28.9
Carter CWT 300;30.0;45.0;1.8;13.4;26.8
Carter CWT 300;30.0;75.0;1.8;13.4;26.8
CENEMESA FL-19;19.0;25.3;5.0;21.0;25.0
CENEMESA FL-19;19.0;30.8;5.0;21.0;25.0
CRRC CWT1500-D77;77.0;70.0;3.0;11.3;25.0
CRRC CWT1500-D77;77.0;80.0;3.0;11.3;25.0
CRRC CWT1500-D83;83.0;70.0;3.0;10.9;25.0
CRRC CWT1500-D83;83.0;80.0;3.0;10.9;25.0
CRRC CWT1500-D87;87.0;70.0;3.0;10.1;25.0
CRRC CWT1500-D87;87.0;80.0;3.0;10.1;25.0
CRRC CWT1500-D93;93.0;80.0;3.0;9.3;22.0
CRRC CWT1500-D93;93.0;90.0;3.0;9.3;22.0
CRRC CWT2000-D122;122.0;90.0;3.0;8.7;20.0
DWP D75/15;15.3;24.0;4.0;18.0;30.0
DWP D110/19;19.2;24.0;4.0;18.0;30.0
DWT Danish Wind Tech Windane 10;9.6;18.6;4.5;14.0;-
DWT Danish Wind Tech Windane 29;29.3;29.0;5.5;13.5;25.0
DWT Danish Wind Tech Windane 31;30.8;32.0;6.0;13.5;25.0
DWT Danish Wind Tech Windane 34;34.0;32.0;5.5;14.0;25.0
