contrast,a,b,abs_er_dev_median_diff,abs_er_dev_p,abs_er_dev_rank_biserial,abs_er_dev_ci,improves,r2_median_diff,r2_p,r2_rank_biserial,r2_ci,variant,abs_er_dev_p_holm
extrapolation (MOST),M5all,M5all_PL,-0.0013493258208427,0.946044921875,0.0329670329670329,"[-0.016, 0.022]",True,9.16616513459978e-05,0.587890625,-0.1868131868131868,"[-0.024, 0.014]",clean,1.0
aging (Weibull),M5all,M5all_noage,-0.0126033852378524,0.0478515625,-0.6263736263736264,"[-0.082, 0.005]",True,0.0116567887017735,0.01708984375,0.7362637362637363,"[0.001, 0.061]",clean,0.19140625
downscaling (QM),M5all,M5all_noQM,0.0,0.5,-1.0,"[0.000, 0.000]",False,0.0,0.5,1.0,"[0.000, 0.000]",clean,1.0
MOST incremental,M3,M2,-0.0027089124775543,0.414306640625,-0.2747252747252747,"[-0.033, 0.000]",True,9.888084773890248e-05,0.83935546875,-0.0769230769230768,"[-0.024, 0.018]",clean,
QM incremental,M2,M1,0.0,0.5,-1.0,"[0.000, 0.000]",False,0.0,0.5,1.0,"[0.000, 0.000]",clean,
aging const (all),M3allconst,M3noage,-0.0455016553819713,0.006103515625,-0.8241758241758241,"[-0.105, -0.022]",True,0.0296123956275284,0.004638671875,0.8461538461538461,"[0.012, 0.088]",clean,
aging weibull (all),M4all,M3noage,-0.025101037859786,0.006103515625,-0.8241758241758241,"[-0.084, -0.007]",True,0.0116567887017735,0.004638671875,0.8461538461538461,"[0.004, 0.083]",clean,
aging weibull+step (all),M4ball,M3noage,-0.025101037859786,0.006103515625,-0.8241758241758241,"[-0.084, -0.007]",True,0.0116567887017735,0.004638671875,0.8461538461538461,"[0.004, 0.091]",clean,
extrapolation (MOST),M5all,M5all_PL,-0.0021806553213803,0.83935546875,-0.0769230769230768,"[-0.015, 0.005]",True,3.821233100698152e-05,0.305419921875,-0.3406593406593406,"[-0.051, 0.013]",raw,1.0
aging (Weibull),M5all,M5all_noage,-0.0119719586441582,0.03271484375,-0.6703296703296704,"[-0.075, 0.004]",True,0.0114672060561986,0.008056640625,0.8021978021978022,"[0.002, 0.069]",raw,0.130859375
downscaling (QM),M5all,M5all_noQM,0.0,0.5,-1.0,"[0.000, 0.000]",False,0.0,0.5,1.0,"[0.000, 0.000]",raw,1.0
MOST incremental,M3,M2,-0.006233534662219,0.146484375,-0.4725274725274725,"[-0.027, 0.000]",True,3.964515602650209e-05,0.635498046875,-0.1648351648351648,"[-0.050, 0.019]",raw,
QM incremental,M2,M1,0.0,0.5,-1.0,"[0.000, 0.000]",False,0.0,0.5,1.0,"[0.000, 0.000]",raw,
aging const (all),M3allconst,M3noage,-0.0456613994304719,0.004638671875,-0.8461538461538461,"[-0.097, -0.022]",True,0.0294082469898157,0.00244140625,0.8901098901098901,"[0.015, 0.090]",raw,
aging weibull (all),M4all,M3noage,-0.0251830838337472,0.004638671875,-0.8461538461538461,"[-0.077, -0.007]",True,0.0126019025001802,0.00244140625,0.8901098901098901,"[0.005, 0.080]",raw,
aging weibull+step (all),M4ball,M3noage,-0.0251830838337472,0.004638671875,-0.8461538461538461,"[-0.077, -0.007]",True,0.0126019025001802,0.00244140625,0.8901098901098901,"[0.005, 0.080]",raw,
