experiment,rung,park_id,park,n_hours,mse,bias_sq,variance_term,phase_term,bias_n,sigma_ratio,corr_r
M0,M0,00198_1,Saxony-Anhalt,6983,0.023271,1e-06,0.003743,0.019527,0.000883,0.761437,0.805026
M0,M0,00198_2,Thuringia,2662,0.020524,5e-06,0.006894,0.013625,0.002273,0.74433,0.913227
M0,M0,00282,Bavaria,6524,0.02689,6.5e-05,0.008385,0.018439,0.008049,0.713691,0.873715
M0,M0,01303_2,North Rhine-Westphalia West,7246,0.03392,0.012206,0.020005,0.001709,-0.110483,0.271499,0.916514
M0,M0,02483,Hesse South,6448,0.042027,0.009814,0.017725,0.014489,-0.099064,0.636607,0.915219
M0,M0,04745,Lower Saxony,7688,0.016519,0.009914,0.001312,0.005293,0.099571,1.271038,0.883384
M0,M0,05347,Hesse North,5560,0.030661,0.013519,0.001626,0.015516,0.11627,0.854652,0.882055
M0,M0,05426,Palatinate,6427,0.021399,0.002856,0.002731,0.015812,0.053445,0.824036,0.891204
M0,M0,07374,North Rhine-Westphalia North,7649,0.010707,0.0,0.001946,0.008761,4.7e-05,0.786541,0.869617
M1noage,M1,00198_1,Saxony-Anhalt,6779,0.028006,0.000178,0.000705,0.027122,0.013359,1.09809,0.831416
M1noage,M1,00198_2,Thuringia,2992,0.014351,0.000815,5.5e-05,0.013481,0.028551,1.022271,0.940664
M1noage,M1,00282,Bavaria,6355,0.017895,0.000911,0.000292,0.016692,-0.030186,0.947621,0.917216
M1noage,M1,00298,Mecklenburg-Western Pomerania,6235,0.024816,0.006337,0.00071,0.017769,0.079603,1.08213,0.92204
M1noage,M1,01200_1,Schleswig-Holstein West,6565,0.031196,0.012315,0.002967,0.015915,0.110972,1.193279,0.91603
M1noage,M1,01200_2,Schleswig-Holstein East,6510,0.04011,0.017837,0.005593,0.01668,0.133554,1.28316,0.906832
M1noage,M1,01303_1,North Rhine-Westphalia East,7068,0.023284,0.008281,0.004978,0.010025,0.090998,1.320248,0.921773
M1noage,M1,01303_2,North Rhine-Westphalia West,6915,0.014457,0.003719,0.003931,0.006807,0.060982,1.320955,0.932474
M1noage,M1,02483,Hesse South,6183,0.011904,0.00064,0.001039,0.010225,-0.025295,0.913065,0.959278
M1noage,M1,04745,Lower Saxony,7344,0.01683,0.005766,0.004539,0.006525,0.075936,1.49698,0.881422
M1noage,M1,05347,Hesse North,5570,0.05582,0.026842,0.003419,0.02556,0.163835,1.201602,0.873562
M1noage,M1,05426,Palatinate,6373,0.01495,0.00033,0.000158,0.014462,0.018165,1.041414,0.924537
M1noage,M1,07374,North Rhine-Westphalia North,7280,0.015658,0.001956,0.002146,0.011557,0.044224,1.221157,0.892147
M2noage,M2,00198_1,Saxony-Anhalt,6779,0.028006,0.000178,0.000705,0.027122,0.013359,1.09809,0.831416
M2noage,M2,00198_2,Thuringia,2992,0.014351,0.000815,5.5e-05,0.013481,0.028551,1.022271,0.940664
M2noage,M2,00282,Bavaria,6355,0.017895,0.000911,0.000292,0.016692,-0.030186,0.947621,0.917216
M2noage,M2,00298,Mecklenburg-Western Pomerania,6235,0.024816,0.006337,0.00071,0.017769,0.079603,1.08213,0.92204
M2noage,M2,01200_1,Schleswig-Holstein West,6565,0.031196,0.012315,0.002967,0.015915,0.110972,1.193279,0.91603
M2noage,M2,01200_2,Schleswig-Holstein East,6510,0.04011,0.017837,0.005593,0.01668,0.133554,1.28316,0.906832
M2noage,M2,01303_1,North Rhine-Westphalia East,7068,0.023284,0.008281,0.004978,0.010025,0.090998,1.320248,0.921773
M2noage,M2,01303_2,North Rhine-Westphalia West,6915,0.014457,0.003719,0.003931,0.006807,0.060982,1.320955,0.932474
M2noage,M2,02483,Hesse South,6183,0.011904,0.00064,0.001039,0.010225,-0.025295,0.913065,0.959278
M2noage,M2,04745,Lower Saxony,7404,0.007857,0.000838,0.001734,0.005285,0.028947,1.305947,0.890779
M2noage,M2,05347,Hesse North,5774,0.015505,0.000423,0.001594,0.013488,0.02056,1.140429,0.926852
M2noage,M2,05426,Palatinate,6373,0.01495,0.00033,0.000158,0.014462,0.018165,1.041414,0.924537
M2noage,M2,07374,North Rhine-Westphalia North,7280,0.015658,0.001956,0.002146,0.011557,0.044224,1.221157,0.892147
M2all,M3,00198_1,Saxony-Anhalt,6779,0.027247,3.2e-05,0.000484,0.026731,0.005639,1.081257,0.831261
M2all,M3,00198_2,Thuringia,2992,0.014194,0.000693,4.4e-05,0.013457,0.026331,1.019836,0.940627
M2all,M3,00282,Bavaria,6355,0.0182,0.001148,0.000355,0.016697,-0.033878,0.94221,0.91672
M2all,M3,00298,Mecklenburg-Western Pomerania,6235,0.023589,0.005655,0.000651,0.017283,0.075197,1.078604,0.923921
M2all,M3,01200_1,Schleswig-Holstein West,6565,0.026952,0.00967,0.002479,0.014803,0.098337,1.176686,0.920795
M2all,M3,01200_2,Schleswig-Holstein East,6510,0.036473,0.015613,0.0051,0.01576,0.124954,1.27039,0.911088
M2all,M3,01303_1,North Rhine-Westphalia East,7068,0.018185,0.005494,0.003641,0.009049,0.074123,1.273892,0.926818
M2all,M3,01303_2,North Rhine-Westphalia West,6915,0.007943,0.000726,0.001373,0.005845,0.026942,1.189684,0.935629
M2all,M3,02483,Hesse South,6183,0.012286,0.000936,0.001137,0.010213,-0.030599,0.909081,0.959147
M2all,M3,04745,Lower Saxony,7404,0.005276,0.00013,0.000495,0.004651,0.011419,1.163452,0.892103
M2all,M3,05347,Hesse North,5774,0.015197,0.00035,0.001515,0.013333,0.018712,1.136875,0.92747
M2all,M3,05426,Palatinate,6373,0.01462,0.000204,0.000112,0.014304,0.014277,1.034967,0.924896
M2all,M3,07374,North Rhine-Westphalia North,7280,0.011399,0.000184,0.000568,0.010647,0.013559,1.113825,0.891062
M3noage,S1,00198_1,Saxony-Anhalt,6794,0.033589,0.000162,0.001931,0.031497,0.01271,1.163249,0.813122
M3noage,S1,00198_2,Thuringia,2891,0.014143,3e-06,6e-05,0.014079,-0.001832,1.023574,0.936793
M3noage,S1,00282,Bavaria,6387,0.02756,0.003738,0.000506,0.023317,-0.061138,0.930918,0.881801
M3noage,S1,00298,Mecklenburg-Western Pomerania,6233,0.02481,0.006352,0.000707,0.017751,0.0797,1.081937,0.922116
M3noage,S1,01200_1,Schleswig-Holstein West,6555,0.030577,0.012133,0.002805,0.015639,0.11015,1.188019,0.917046
M3noage,S1,01200_2,Schleswig-Holstein East,6459,0.038424,0.017435,0.005114,0.015875,0.13204,1.272599,0.909364
M3noage,S1,01303_1,North Rhine-Westphalia East,7019,0.019241,0.006936,0.003274,0.009031,0.083282,1.263625,0.924155
M3noage,S1,01303_2,North Rhine-Westphalia West,6909,0.011594,0.002789,0.002317,0.006489,0.052808,1.246675,0.931644
