experiment,park_id,variant,r2,energy_ratio,wasserstein,rmse_n,mae_n,n_hours,outlier_share,bias_n,commissioning_date,age_years_2023_12
M1,00198_1,raw,0.453913,1.094736,0.025553,0.20302,0.126876,7512,0.097577,0.025534,2013-09-01,10.25
M1,00198_1,clean,0.617702,1.048207,0.018416,0.167349,0.109658,6779,0.097577,0.013359,2013-09-01,10.25
M1,00198_1,clean_exkl_curt,0.598861,1.042205,0.017672,0.166808,0.108927,6779,0.097577,0.013359,2013-09-01,10.25
M1,00198_2,raw,0.739371,1.082058,0.029649,0.171376,0.116563,3649,0.180049,0.029649,2018-12-13,4.97
M1,00198_2,clean,0.870854,1.080886,0.03098,0.119796,0.086694,2992,0.180049,0.028551,2018-12-13,4.97
M1,00198_2,clean_exkl_curt,0.86785,1.081367,0.030899,0.120201,0.087101,2992,0.180049,0.028551,2018-12-13,4.97
M1,00282,raw,0.617835,0.957353,0.021635,0.203266,0.129447,7512,0.15402,-0.015328,2017-02-20,6.78
M1,00282,clean,0.823052,0.886658,0.040225,0.137207,0.094569,6355,0.15402,-0.04022,2017-02-20,6.78
M1,00282,clean_exkl_curt,0.82182,0.88611,0.040199,0.136866,0.094641,6355,0.15402,-0.04022,2017-02-20,6.78
M1,00298,raw,0.501627,1.282191,0.099461,0.233003,0.1438,7512,0.169995,0.09946,2016-12-01,7.0
M1,00298,clean,0.793958,1.194363,0.068431,0.147304,0.100264,6235,0.169995,0.06796,2016-12-01,7.0
M1,00298,clean_exkl_curt,0.785562,1.202284,0.069501,0.148466,0.101256,6235,0.169995,0.06796,2016-12-01,7.0
M1,01200_1,raw,0.074491,1.554983,0.15256,0.28077,0.172154,7512,0.126065,0.15256,2012-01-01,11.92
M1,01200_1,clean,0.607176,1.400999,0.111685,0.176624,0.125018,6565,0.126065,0.110972,2012-01-01,11.92
M1,01200_1,clean_exkl_curt,0.580962,1.417848,0.11173,0.176836,0.125155,6565,0.126065,0.110972,2012-01-01,11.92
M1,01200_2,raw,0.350676,1.505052,0.144283,0.234464,0.15809,7512,0.133387,0.144278,2014-01-01,9.91
M1,01200_2,clean,0.425041,1.531981,0.133628,0.200276,0.140762,6510,0.133387,0.133554,2014-01-01,9.91
M1,01200_2,clean_exkl_curt,0.388407,1.553585,0.133934,0.200445,0.140938,6510,0.133387,0.133554,2014-01-01,9.91
M1,01303_1,raw,0.628683,1.316865,0.069414,0.143408,0.097068,7511,0.05898,0.069,2009-02-02,14.83
M1,01303_1,clean,0.64937,1.33949,0.070559,0.130452,0.090048,7068,0.05898,0.069816,2009-02-02,14.83
M1,01303_1,clean_exkl_curt,0.629331,1.347815,0.069349,0.12871,0.088542,7068,0.05898,0.069816,2009-02-02,14.83
M1,01303_2,raw,0.59863,1.311952,0.063662,0.136743,0.09173,7511,0.07935,0.062303,2001-11-23,22.02
M1,01303_2,clean,0.621136,1.331383,0.063069,0.120238,0.08286,6915,0.07935,0.060982,2001-11-23,22.02
M1,01303_2,clean_exkl_curt,0.603808,1.336079,0.061731,0.118481,0.081224,6915,0.07935,0.060982,2001-11-23,22.02
M1,02483,raw,0.738465,0.929183,0.032827,0.184006,0.122685,7512,0.176917,-0.032827,2015-12-01,8.0
M1,02483,clean,0.905869,0.9176,0.039563,0.113766,0.083985,6183,0.176917,-0.037605,2015-12-01,8.0
M1,02483,clean_exkl_curt,0.902412,0.915714,0.039365,0.114769,0.084743,6183,0.176917,-0.037605,2015-12-01,8.0
M1,04745,raw,0.057068,1.720989,0.077623,0.136078,0.086468,7501,0.020931,0.077577,2003-06-01,20.5
M1,04745,clean,0.084243,1.714653,0.076035,0.129731,0.084111,7344,0.020931,0.075936,2003-06-01,20.5
M1,04745,clean_exkl_curt,-0.001934,1.747918,0.073465,0.124838,0.08082,7344,0.020931,0.075936,2003-06-01,20.5
M1,05347,raw,0.124368,1.674857,0.182832,0.281597,0.199559,7511,0.258421,0.182832,2018-07-01,5.42
M1,05347,clean,0.336398,1.570063,0.163878,0.236263,0.17042,5570,0.258421,0.163835,2018-07-01,5.42
M1,05347,clean_exkl_curt,0.286759,1.597381,0.165677,0.237835,0.172091,5570,0.258421,0.163835,2018-07-01,5.42
M1,05426,raw,0.668687,1.108915,0.030943,0.176351,0.110602,7512,0.151624,0.030761,2016-09-26,7.18
M1,05426,clean,0.837522,1.060662,0.019296,0.122268,0.085071,6373,0.151624,0.018165,2016-09-26,7.18
M1,05426,clean_exkl_curt,0.832245,1.061508,0.019109,0.122003,0.085102,6373,0.151624,0.018165,2016-09-26,7.18
M1,07374,raw,0.653492,1.123791,0.023797,0.123264,0.074539,7512,0.030884,0.023794,2002-05-17,21.54
M1,07374,clean,0.731668,1.088268,0.018406,0.108502,0.069085,7280,0.030884,0.017442,2002-05-17,21.54
M1,07374,clean_exkl_curt,0.736928,1.080212,0.01643,0.103784,0.066267,7280,0.030884,0.017442,2002-05-17,21.54
M1noage,00198_1,raw,0.453913,1.094736,0.025553,0.20302,0.126876,7512,0.097577,0.025534,2013-09-01,10.25
M1noage,00198_1,clean,0.617702,1.048207,0.018416,0.167349,0.109658,6779,0.097577,0.013359,2013-09-01,10.25
M1noage,00198_1,clean_exkl_curt,0.598861,1.042205,0.017672,0.166808,0.108927,6779,0.097577,0.013359,2013-09-01,10.25
M1noage,00198_2,raw,0.739371,1.082058,0.029649,0.171376,0.116563,3649,0.180049,0.029649,2018-12-13,4.97
M1noage,00198_2,clean,0.870854,1.080886,0.03098,0.119796,0.086694,2992,0.180049,0.028551,2018-12-13,4.97
M1noage,00198_2,clean_exkl_curt,0.86785,1.081367,0.030899,0.120201,0.087101,2992,0.180049,0.028551,2018-12-13,4.97
M1noage,00282,raw,0.62048,0.984848,0.016511,0.202561,0.128391,7512,0.15402,-0.005446,2017-02-20,6.78
M1noage,00282,clean,0.831796,0.914934,0.030207,0.133774,0.092468,6355,0.15402,-0.030186,2017-02-20,6.78
M1noage,00282,clean_exkl_curt,0.830591,0.914632,0.030198,0.133454,0.09255,6355,0.15402,-0.030186,2017-02-20,6.78
M1noage,00298,raw,0.472221,1.313827,0.110612,0.239778,0.149921,7512,0.169995,0.110611,2016-12-01,7.0
M1noage,00298,clean,0.764357,1.227662,0.080032,0.15753,0.107303,6235,0.169995,0.079603,2016-12-01,7.0
M1noage,00298,clean_exkl_curt,0.754814,1.23644,0.081109,0.158753,0.108328,6235,0.169995,0.079603,2016-12-01,7.0
M1noage,01200_1,raw,0.074491,1.554983,0.15256,0.28077,0.172154,7512,0.126065,0.15256,2012-01-01,11.92
M1noage,01200_1,clean,0.607176,1.400999,0.111685,0.176624,0.125018,6565,0.126065,0.110972,2012-01-01,11.92
M1noage,01200_1,clean_exkl_curt,0.580962,1.417848,0.11173,0.176836,0.125155,6565,0.126065,0.110972,2012-01-01,11.92
M1noage,01200_2,raw,0.350676,1.505052,0.144283,0.234464,0.15809,7512,0.133387,0.144278,2014-01-01,9.91
M1noage,01200_2,clean,0.425041,1.531981,0.133628,0.200276,0.140762,6510,0.133387,0.133554,2014-01-01,9.91
M1noage,01200_2,clean_exkl_curt,0.388407,1.553585,0.133934,0.200445,0.140938,6510,0.133387,0.133554,2014-01-01,9.91
M1noage,01303_1,raw,0.518535,1.413078,0.090365,0.163299,0.112371,7511,0.05898,0.089951,2009-02-02,14.83
M1noage,01303_1,clean,0.520271,1.442488,0.091741,0.15259,0.106396,7068,0.05898,0.090998,2009-02-02,14.83
M1noage,01303_1,clean_exkl_curt,0.490924,1.454396,0.090364,0.150838,0.104804,7068,0.05898,0.090998,2009-02-02,14.83
M1noage,01303_2,raw,0.59863,1.311952,0.063662,0.136743,0.09173,7511,0.07935,0.062303,2001-11-23,22.02
M1noage,01303_2,clean,0.621136,1.331383,0.063069,0.120238,0.08286,6915,0.07935,0.060982,2001-11-23,22.02
M1noage,01303_2,clean_exkl_curt,0.603808,1.336079,0.061731,0.118481,0.081224,6915,0.07935,0.060982,2001-11-23,22.02
M1noage,02483,raw,0.742996,0.955755,0.020582,0.182405,0.1209,7512,0.176917,-0.02051,2015-12-01,8.0
M1noage,02483,clean,0.913426,0.944574,0.033651,0.109104,0.081268,6183,0.176917,-0.025295,2015-12-01,8.0
M1noage,02483,clean_exkl_curt,0.910308,0.943591,0.033284,0.110028,0.081985,6183,0.176917,-0.025295,2015-12-01,8.0
M1noage,04745,raw,0.057068,1.720989,0.077623,0.136078,0.086468,7501,0.020931,0.077577,2003-06-01,20.5
M1noage,04745,clean,0.084243,1.714653,0.076035,0.129731,0.084111,7344,0.020931,0.075936,2003-06-01,20.5
M1noage,04745,clean_exkl_curt,-0.001934,1.747918,0.073465,0.124838,0.08082,7344,0.020931,0.075936,2003-06-01,20.5
M1noage,05347,raw,0.124368,1.674857,0.182832,0.281597,0.199559,7511,0.258421,0.182832,2018-07-01,5.42
M1noage,05347,clean,0.336398,1.570063,0.163878,0.236263,0.17042,5570,0.258421,0.163835,2018-07-01,5.42
M1noage,05347,clean_exkl_curt,0.286759,1.597381,0.165677,0.237835,0.172091,5570,0.258421,0.163835,2018-07-01,5.42
M1noage,05426,raw,0.668687,1.108915,0.030943,0.176351,0.110602,7512,0.151624,0.030761,2016-09-26,7.18
M1noage,05426,clean,0.837522,1.060662,0.019296,0.122268,0.085071,6373,0.151624,0.018165,2016-09-26,7.18
M1noage,05426,clean_exkl_curt,0.832245,1.061508,0.019109,0.122003,0.085102,6373,0.151624,0.018165,2016-09-26,7.18
M1noage,07374,raw,0.551858,1.263283,0.050609,0.140181,0.086581,7512,0.030884,0.050607,2002-05-17,21.54
M1noage,07374,clean,0.643101,1.223801,0.044398,0.125133,0.08066,7280,0.030884,0.044224,2002-05-17,21.54
M1noage,07374,clean_exkl_curt,0.648273,1.217844,0.041544,0.120004,0.07754,7280,0.030884,0.044224,2002-05-17,21.54
M2,00198_1,raw,0.453913,1.094736,0.025553,0.20302,0.126876,7512,0.097577,0.025534,2013-09-01,10.25
M2,00198_1,clean,0.617702,1.048207,0.018416,0.167349,0.109658,6779,0.097577,0.013359,2013-09-01,10.25
M2,00198_1,clean_exkl_curt,0.598861,1.042205,0.017672,0.166808,0.108927,6779,0.097577,0.013359,2013-09-01,10.25
M2,00198_2,raw,0.739371,1.082058,0.029649,0.171376,0.116563,3649,0.180049,0.029649,2018-12-13,4.97
M2,00198_2,clean,0.870854,1.080886,0.03098,0.119796,0.086694,2992,0.180049,0.028551,2018-12-13,4.97
M2,00198_2,clean_exkl_curt,0.86785,1.081367,0.030899,0.120201,0.087101,2992,0.180049,0.028551,2018-12-13,4.97
M2,00282,raw,0.617835,0.957353,0.021635,0.203266,0.129447,7512,0.15402,-0.015328,2017-02-20,6.78
M2,00282,clean,0.823052,0.886658,0.040225,0.137207,0.094569,6355,0.15402,-0.04022,2017-02-20,6.78
M2,00282,clean_exkl_curt,0.82182,0.88611,0.040199,0.136866,0.094641,6355,0.15402,-0.04022,2017-02-20,6.78
M2,00298,raw,0.501627,1.282191,0.099461,0.233003,0.1438,7512,0.169995,0.09946,2016-12-01,7.0
M2,00298,clean,0.793958,1.194363,0.068431,0.147304,0.100264,6235,0.169995,0.06796,2016-12-01,7.0
M2,00298,clean_exkl_curt,0.785562,1.202284,0.069501,0.148466,0.101256,6235,0.169995,0.06796,2016-12-01,7.0
M2,01200_1,raw,0.074491,1.554983,0.15256,0.28077,0.172154,7512,0.126065,0.15256,2012-01-01,11.92
M2,01200_1,clean,0.607176,1.400999,0.111685,0.176624,0.125018,6565,0.126065,0.110972,2012-01-01,11.92
M2,01200_1,clean_exkl_curt,0.580962,1.417848,0.11173,0.176836,0.125155,6565,0.126065,0.110972,2012-01-01,11.92
M2,01200_2,raw,0.350676,1.505052,0.144283,0.234464,0.15809,7512,0.133387,0.144278,2014-01-01,9.91
M2,01200_2,clean,0.425041,1.531981,0.133628,0.200276,0.140762,6510,0.133387,0.133554,2014-01-01,9.91
M2,01200_2,clean_exkl_curt,0.388407,1.553585,0.133934,0.200445,0.140938,6510,0.133387,0.133554,2014-01-01,9.91
M2,01303_1,raw,0.628683,1.316865,0.069414,0.143408,0.097068,7511,0.05898,0.069,2009-02-02,14.83
M2,01303_1,clean,0.64937,1.33949,0.070559,0.130452,0.090048,7068,0.05898,0.069816,2009-02-02,14.83
M2,01303_1,clean_exkl_curt,0.629331,1.347815,0.069349,0.12871,0.088542,7068,0.05898,0.069816,2009-02-02,14.83
M2,01303_2,raw,0.59863,1.311952,0.063662,0.136743,0.09173,7511,0.07935,0.062303,2001-11-23,22.02
M2,01303_2,clean,0.621136,1.331383,0.063069,0.120238,0.08286,6915,0.07935,0.060982,2001-11-23,22.02
M2,01303_2,clean_exkl_curt,0.603808,1.336079,0.061731,0.118481,0.081224,6915,0.07935,0.060982,2001-11-23,22.02
M2,02483,raw,0.738465,0.929183,0.032827,0.184006,0.122685,7512,0.176917,-0.032827,2015-12-01,8.0
M2,02483,clean,0.905869,0.9176,0.039563,0.113766,0.083985,6183,0.176917,-0.037605,2015-12-01,8.0
M2,02483,clean_exkl_curt,0.902412,0.915714,0.039365,0.114769,0.084743,6183,0.176917,-0.037605,2015-12-01,8.0
M2,04745,raw,0.525113,1.285627,0.034707,0.09657,0.055256,7501,0.012932,0.030733,2003-06-01,20.5
M2,04745,clean,0.57589,1.273715,0.033261,0.088639,0.052327,7404,0.012932,0.028947,2003-06-01,20.5
