experiment,mean,max,min
M0,0.1697,0.3125,0.0482
M1,0.126,0.2584,0.0209
M1noage,0.126,0.2584,0.0209
M2,0.1233,0.2313,0.0129
M2_simgate,0.1215,0.2313,0.0129
M2all,0.1233,0.2313,0.0129
M2noage,0.1233,0.2313,0.0129
M2noage_distgate,0.177,0.2801,0.1241
M3,0.1272,0.2287,0.0124
M3allconst,0.1272,0.2287,0.0124
M3noage,0.1272,0.2287,0.0124
M4,0.1272,0.2287,0.0124
M4all,0.1272,0.2287,0.0124
M4all_noage,0.1272,0.2287,0.0124
M4b,0.1272,0.2287,0.0124
M4ball,0.1272,0.2287,0.0124
M5,0.1272,0.2287,0.0124
M5_gate5,0.1314,0.2781,0.0124
M5_hybgate,0.1274,0.2287,0.0124
M5_simgate,0.1246,0.2287,0.0124
M5all,0.1272,0.2287,0.0124
M5all_PL,0.1233,0.2313,0.0129
M5all_distgate,0.1756,0.2781,0.1237
M5all_noQM,0.1298,0.253,0.0221
M5all_noage,0.1272,0.2287,0.0124
