park_id,K1,K3,K5,K5_noage,M0,M1,M1noage,M2,M2_simgate,M2_trbc,M2_trbc10,M2all,M2noage,M2noage_distgate,M3,M3_trbc,M3_vg,M3allconst,M3noage,M4,M4_trbc,M4all,M4all_noage,M4b,M4ball,M5,M5_gate5,M5_hybgate,M5_simgate,M5_vg,M5_vg_blend,M5all,M5all_PL,M5all_PL_noQM,M5all_PL_noWake,M5all_PL_noage,M5all_distgate,M5all_noQM,M5all_noage,MK
00198_1,0.1151,0.1154,0.1154,0.1154,0.1366,0.0976,0.0976,0.0976,0.0976,0.1211,0.099,0.0976,0.0976,,0.0956,0.1194,0.0986,0.0956,0.0956,0.0956,0.1194,0.0956,0.0956,0.0956,0.0956,0.0956,0.0956,0.0956,0.0956,0.0986,0.0994,0.0956,0.0976,,0.0976,0.0976,,0.0956,0.0956,0.1154
00198_2,0.2203,0.2513,0.2513,0.2513,0.2705,0.18,0.18,0.18,0.1765,0.2162,0.1891,0.18,0.18,,0.2077,0.2406,0.1858,0.2077,0.2077,0.2077,0.2406,0.2077,0.2077,0.2077,0.2077,0.2077,0.2077,0.2077,0.1858,0.1858,0.1798,0.2077,0.18,,0.18,0.18,,0.2077,0.2077,0.2513
00282,0.1764,0.1817,0.1817,0.1817,0.1934,0.154,0.154,0.154,0.1343,0.1805,0.1572,0.154,0.154,0.1777,0.1498,0.1776,0.1546,0.1498,0.1498,0.1498,0.1776,0.1498,0.1498,0.1498,0.1498,0.1498,0.1794,0.1794,0.1402,0.1546,0.1506,0.1498,0.154,,0.154,0.154,0.1794,0.1498,0.1498,0.1817
00298,0.2122,0.2123,0.2123,0.2123,,0.17,0.17,0.17,0.17,0.1926,0.1752,0.17,0.17,,0.1703,0.1929,0.17,0.1703,0.1703,0.1703,0.1929,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.17,0.17,0.1703,0.17,,0.17,0.17,,0.1703,0.1703,0.2123
01200_1,0.1314,0.1338,0.1338,0.1338,,0.1261,0.1261,0.1261,0.1261,0.1267,0.1229,0.1261,0.1261,0.1241,0.1274,0.1278,0.1262,0.1274,0.1274,0.1274,0.1278,0.1274,0.1274,0.1274,0.1274,0.1274,0.1247,0.1274,0.1274,0.1262,0.1262,0.1274,0.1261,,0.1261,0.1261,0.1237,0.1274,0.1274,0.1338
01200_2,0.1396,0.1349,0.1349,0.1349,,0.1334,0.1334,0.1334,0.1334,0.1301,0.1286,0.1334,0.1334,0.1383,0.1402,0.1327,0.1394,0.1402,0.1402,0.1402,0.1327,0.1402,0.1402,0.1402,0.1402,0.1402,0.1447,0.1402,0.1402,0.1394,0.1347,0.1402,0.1334,,0.1334,0.1334,0.1362,0.1402,0.1402,0.1349
01303_1,0.0604,0.0651,0.0651,0.0651,,0.059,0.059,0.059,0.059,0.0623,0.0578,0.059,0.059,,0.0655,0.059,0.063,0.0655,0.0655,0.0655,0.059,0.0655,0.0655,0.0655,0.0655,0.0655,0.0655,0.0655,0.0655,0.063,0.0623,0.0655,0.059,,0.059,0.059,,0.0655,0.0655,0.0651
01303_2,0.0755,0.0815,0.0815,0.0815,0.104,0.0794,0.0794,0.0794,0.0794,0.0809,0.0804,0.0794,0.0794,,0.0801,0.0823,0.0804,0.0801,0.0801,0.0801,0.0823,0.0801,0.0801,0.0801,0.0801,0.0801,0.0801,0.0801,0.0801,0.0804,0.0811,0.0801,0.0794,,0.0794,0.0794,,0.0801,0.0801,0.0815
02483,0.1808,0.2006,0.2006,0.2006,0.2028,0.1769,0.1769,0.1769,0.1853,0.1958,0.1876,0.1769,0.1769,0.1648,0.1872,0.1989,0.1809,0.1872,0.1872,0.1872,0.1989,0.1872,0.1872,0.1872,0.1872,0.1872,0.1607,0.1607,0.193,0.1809,0.1808,0.1872,0.1769,,0.1769,0.1769,0.1607,0.1872,0.1872,0.2006
04745,0.0203,0.0228,0.0228,0.0228,0.0482,0.0209,0.0209,0.0129,0.0129,0.0203,0.0176,0.0129,0.0129,,0.0124,0.0219,0.0128,0.0124,0.0124,0.0124,0.0219,0.0124,0.0124,0.0124,0.0124,0.0124,0.0124,0.0124,0.0124,0.0128,0.0125,0.0124,0.0129,0.0209,0.0129,0.0129,,0.0221,0.0124,0.0228
05347,0.2764,0.2689,0.2689,0.2689,0.3125,0.2584,0.2584,0.2313,0.2313,0.3074,0.2604,0.2313,0.2313,0.2801,0.2287,0.3091,0.2307,0.2287,0.2287,0.2287,0.3091,0.2287,0.2287,0.2287,0.2287,0.2287,0.2781,0.2287,0.2287,0.2307,0.2317,0.2287,0.2313,0.2584,0.2313,0.2313,0.2781,0.253,0.2287,0.2689
05426,0.1685,0.1844,0.1844,0.1844,0.2054,0.1516,0.1516,0.1516,0.1516,0.1745,0.1526,0.1516,0.1516,,0.1568,0.1756,0.154,0.1568,0.1568,0.1568,0.1756,0.1568,0.1568,0.1568,0.1568,0.1568,0.1568,0.1568,0.1568,0.154,0.1543,0.1568,0.1516,,0.1516,0.1516,,0.1568,0.1568,0.1844
07374,0.0315,0.0319,0.0319,0.0319,0.0543,0.0309,0.0309,0.0309,0.0226,0.0322,0.0301,0.0309,0.0309,,0.0319,0.033,0.0314,0.0319,0.0319,0.0319,0.033,0.0319,0.0319,0.0319,0.0319,0.0319,0.0319,0.0319,0.0234,0.0314,0.0314,0.0319,0.0309,,0.0309,0.0309,,0.0319,0.0319,0.0319
