experiment,r2_clean,absERdev_clean,W1_clean,n_parks_clean,r2_raw,absERdev_raw,W1_raw,n_parks_raw
K1,0.7622,0.2003,0.0361,13,0.5623,0.1838,0.0495,13
K3,0.7264,0.126,0.0395,13,0.5017,0.1723,0.0369,13
K5,0.7767,0.0974,0.0326,13,0.5665,0.0874,0.0446,13
K5_noage,0.7346,0.1068,0.028,13,0.5447,0.0791,0.0327,13
M1,0.6494,0.1944,0.0631,13,0.5986,0.2822,0.0637,13
M1noage,0.6211,0.2277,0.0631,13,0.5185,0.312,0.0637,13
M2,0.7317,0.1133,0.0396,13,0.5986,0.1937,0.0347,13
M2_simgate,0.6177,0.2737,0.0631,13,0.5185,0.312,0.0637,13
M2all,0.776,0.0955,0.0339,13,0.6198,0.1203,0.0275,13
M2noage,0.6431,0.2238,0.0389,13,0.5519,0.2633,0.0506,13
M3,0.7247,0.1946,0.047,13,0.5776,0.1863,0.0445,13
M3allconst,0.7557,0.1026,0.0452,13,0.5922,0.1085,0.0347,13
M3noage,0.6955,0.203,0.047,13,0.5741,0.2198,0.0476,13
M4,0.7346,0.1815,0.047,13,0.5776,0.1863,0.0401,13
M4all,0.7608,0.0948,0.0402,13,0.5835,0.1093,0.0359,13
M4all_noage,0.6955,0.203,0.047,13,0.5741,0.2198,0.0476,13
M4b,0.7346,0.1815,0.047,13,0.5776,0.1863,0.0401,13
M4ball,0.7643,0.089,0.0402,13,0.5835,0.091,0.0359,13
M5,0.7574,0.129,0.0466,13,0.6196,0.1461,0.0398,13
M5_gate5,0.759,0.0974,0.0502,13,0.5094,0.1262,0.0497,13
M5_hybgate,0.7628,0.0948,0.0502,13,0.5562,0.1262,0.049,13
M5_simgate,0.7453,0.2153,0.0519,13,0.5562,0.2034,0.049,13
M5all,0.7738,0.0974,0.0479,13,0.6215,0.0858,0.0398,13
M5all_PL,0.776,0.0641,0.0337,13,0.6379,0.0804,0.0315,13
M5all_noQM,0.7628,0.2153,0.0512,13,0.5687,0.1674,0.0497,13
M5all_noage,0.7403,0.1798,0.0466,13,0.5971,0.1596,0.042,13
MK,0.7767,0.0974,0.0326,13,0.5665,0.0874,0.0446,13
