park_id,stability,n,bias_n,rmse_n
00198_1,neutral,1225,0.004950077525527639,0.1682963934519113
00198_1,stable,4225,0.036135583152847726,0.24825550761405366
00198_1,unstable,2062,0.009920287611484259,0.1666950091546804
00198_2,neutral,601,0.0012799048613667567,0.10653321656018883
00198_2,stable,1988,0.00496527727435396,0.20976265699208374
00198_2,unstable,1060,0.0025755015637732893,0.15603716445059937
00282,neutral,1057,-0.0017288429044778938,0.1716295391990378
00282,stable,4305,-0.06180250451029861,0.2510556293543025
00282,unstable,2150,-0.00904841813289644,0.17491678128128288
00298,neutral,1359,0.11304871953559119,0.26255750291808605
00298,stable,4233,0.11419279131353736,0.2425630320936657
00298,unstable,1920,0.05756552240703403,0.1840727684253995
01200_1,neutral,1277,0.19249427315173442,0.35935691468806813
01200_1,stable,4482,0.16931432469204888,0.28176021037072807
01200_1,unstable,1753,0.07804266260414684,0.19696395577262135
01200_2,neutral,1277,0.15314369082779167,0.2645317481034255
01200_2,stable,4482,0.16798425966667188,0.24191049303503182
01200_2,unstable,1753,0.0696428271934342,0.16724142489528365
01303_1,neutral,1115,0.06896333011555386,0.15288398205000253
01303_1,stable,4574,0.07556806911500634,0.1360360214215757
01303_1,unstable,1822,0.028241782579772477,0.11878807662760489
01303_2,neutral,1115,0.0649382009175931,0.14721179804163023
01303_2,stable,4574,0.06687037013399035,0.12862142308017976
01303_2,unstable,1822,0.02248317751786701,0.11118775274144686
02483,neutral,1342,-0.018079669233544076,0.18810557293670555
02483,stable,4021,-0.04871631508126858,0.22284850578363977
02483,unstable,2149,-0.01897781515027293,0.1609532759259511
04745,neutral,949,0.030395594718016204,0.09182618767830221
04745,stable,4609,0.028981189153442482,0.08825816093470885
04745,unstable,1943,0.0077099139355659915,0.08223776788293065
05347,neutral,1178,0.034943213280808606,0.18174002231587136
05347,stable,4312,0.07081491451567759,0.2218339856250322
05347,unstable,2021,0.016126494466112053,0.16550327902026926
05426,neutral,1144,0.023918825931356632,0.16085026067454264
05426,stable,4366,0.048861079845293,0.22959160292413716
05426,unstable,2002,0.025729846178069987,0.1379734789978935
07374,neutral,887,0.02479612167893543,0.11951558395758977
07374,stable,4699,0.021505163017206133,0.12619965237147118
07374,unstable,1926,0.017424738246687322,0.10442141444922802
