comparison,a,b,metric,variant,n_parks,median_diff_a_minus_b,wilcoxon_p_exact,rank_biserial,boot_ci_lo,boot_ci_hi,sign_test_p
M1 vs M2,M2,M1,r2,clean,13,0.0,0.5,1.0,0.0,0.0,0.5
M1 vs M2,M2,M1,abs_er_dev,clean,13,0.0,0.5,-1.0,0.0,0.0,0.5
M1 vs M2,M2,M1,wasserstein,clean,13,0.0,0.5,-1.0,0.0,0.0,0.5
M1 vs M3,M3,M1,r2,clean,13,0.007456,0.635498,0.164835,-0.02354,0.05873,0.581055
M1 vs M3,M3,M1,abs_er_dev,clean,13,-0.002709,0.273438,-0.362637,-0.044021,0.000375,0.581055
M1 vs M3,M3,M1,wasserstein,clean,13,-0.001518,0.587891,-0.186813,-0.007911,0.006771,0.581055
M1 vs M4,M4,M1,r2,clean,13,0.007456,0.735352,0.120879,-0.018418,0.037487,1.0
M1 vs M4,M4,M1,abs_er_dev,clean,13,-0.002709,0.30542,-0.340659,-0.044021,0.006578,0.581055
M1 vs M4,M4,M1,wasserstein,clean,13,-0.001518,0.587891,-0.186813,-0.007388,0.007311,0.581055
M1 vs M5,M5,M1,r2,clean,13,0.031176,0.243896,0.384615,-0.029661,0.149089,1.0
M1 vs M5,M5,M1,abs_er_dev,clean,13,-0.039382,0.167725,-0.450549,-0.130403,0.020935,0.581055
M1 vs M5,M5,M1,wasserstein,clean,13,-0.009126,0.454834,-0.252747,-0.027378,0.015643,1.0
M1 vs M5all,M5all,M1,r2,clean,13,0.031176,0.190918,0.428571,-0.029661,0.19538,1.0
M1 vs M5all,M5all,M1,abs_er_dev,clean,13,-0.039382,0.146484,-0.472527,-0.170874,0.020935,1.0
M1 vs M5all,M5all,M1,wasserstein,clean,13,-0.009126,0.414307,-0.274725,-0.047176,0.015265,1.0
M2 vs M3 (MOST),M3,M2,r2,clean,13,9.9e-05,0.839355,-0.076923,-0.02354,0.017821,1.0
M2 vs M3 (MOST),M3,M2,abs_er_dev,clean,13,-0.002709,0.414307,-0.274725,-0.033384,0.000375,0.581055
M2 vs M3 (MOST),M3,M2,wasserstein,clean,13,-0.000874,0.735352,0.120879,-0.004489,0.008133,1.0
"M3 vs M4 (aging, 5 parks)",M4,M3,r2,clean,13,0.0,0.8125,-0.2,0.0,0.0,1.0
"M3 vs M4 (aging, 5 parks)",M4,M3,abs_er_dev,clean,13,0.0,0.8125,0.2,0.0,0.0,1.0
